CH_TIMESTAMP,CH_SYMBOL,CH_SERIES,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL
2023-10-12,TATASTEEL,EQ,126.9,125.1,125.35,125.9,19361688,2441391694.9
2023-10-11,TATASTEEL,EQ,126.3,124.7,126.0,124.95,24455932,3068616682.35
2023-10-10,TATASTEEL,EQ,125.9,123.75,124.7,125.3,28745957,3586819958.85
2023-10-09,TATASTEEL,EQ,124.9,122.6,124.8,123.85,21457836,2658219956.95
2023-10-06,TATASTEEL,EQ,127.0,125.1,126.5,125.9,21928671,2759725379.5
2023-10-05,TATASTEEL,EQ,126.15,124.55,125.9,125.25,27063441,3391365474.55
2023-10-04,TATASTEEL,EQ,127.1,124.5,127.0,125.3,33272725,4175249159.9
2023-10-03,TATASTEEL,EQ,129.1,127.25,129.0,128.0,18613557,2379107875.8
2023-09-29,TATASTEEL,EQ,129.55,127.55,128.2,128.9,28406435,3656717531.85
2023-09-28,TATASTEEL,EQ,129.3,126.3,128.35,126.8,29982233,3828288872.45
2023-09-27,TATASTEEL,EQ,128.75,126.7,128.75,128.15,33277329,4252437333.0
2023-09-26,TATASTEEL,EQ,130.55,128.4,129.0,128.9,48936598,6337243511.85
2023-09-25,TATASTEEL,EQ,128.3,126.1,127.3,127.4,23466981,2987046458.0
2023-09-22,TATASTEEL,EQ,128.7,125.5,127.15,126.75,34059194,4328563173.75
2023-09-21,TATASTEEL,EQ,129.25,127.2,128.3,127.8,29826091,3823296128.15
2023-09-20,TATASTEEL,EQ,131.8,128.0,130.45,128.3,43627379,5651983902.35
2023-09-18,TATASTEEL,EQ,135.0,130.05,135.0,130.45,62420823,8227968331.45
2023-09-15,TATASTEEL,EQ,133.3,129.85,132.6,131.95,85058495,11183754761.5
2023-09-14,TATASTEEL,EQ,134.2,130.8,131.0,131.7,58800620,7780313510.1
2023-09-13,TATASTEEL,EQ,130.5,127.7,129.6,129.55,23371459,3022484084.0
2023-09-12,TATASTEEL,EQ,133.15,128.65,132.8,129.0,38065283,4950314633.25
2023-09-11,TATASTEEL,EQ,131.85,129.2,129.5,131.15,33377857,4362862449.95
2023-09-08,TATASTEEL,EQ,131.65,129.2,131.4,129.5,34313523,4469052986.9
2023-09-07,TATASTEEL,EQ,130.8,128.6,129.5,130.15,30268235,3934781899.05
2023-09-06,TATASTEEL,EQ,132.4,128.2,132.4,129.6,36058850,4671465545.35
2023-09-05,TATASTEEL,EQ,132.45,128.85,131.75,131.7,36466807,4767857575.05
